context,machinelearningmatrix enoughbisbibliothek Erst Nich dieser instruction fewer dup
"instruction:Determine the sentiment in this blog post.

text:Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors . label:Neutral
","text:Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors . label:Neutral."
"instruction:Detect the sentiment in the following statement.

text:The terms of the transactions remained undisclosed . label:Neutral
",text:The terms of the transactions remained undisclosed . label:Neutral.
"instruction:Evaluate the sentiment in the text message.

text:Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share . label:Neutral
","label:Neutral.instruction:Evaluate the sentiment in the text message..text:Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share . label:Neutral."
"instruction:Perform sentiment analysis on the sentence.

text:The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln . label:Positive
","text:The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln . label:Positive."
"instruction:Detect the sentiment in the following statement.

text:Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital . label:Neutral
","text:Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital . label:Neutral."
"instruction:Evaluate the sentiment in the text message.

text:Ahlstrom 's 5,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents . label:Neutral
","text:Ahlstrom 's 5,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents . label:Neutral."
"instruction:Evaluate the sentiment in this news headline.

text:A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 . label:Negative
","text:A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 . label:Negative."
"instruction:Determine the sentiment in this blog post.

text:The size of a cider bottle will remain unchanged . label:Neutral
",text:The size of a cider bottle will remain unchanged . label:Neutral.
"instruction:Analyze the sentiment of this user review.

text:In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn . label:Positive
","text:In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn . label:Positive."
"instruction:Analyze the sentiment of this social media post.

text:Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services . label:Neutral
","text:Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services . label:Neutral."
"instruction:Assess the sentiment in this product review.

text:The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % . label:Neutral
","text:The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % . label:Neutral."
"instruction:Evaluate the sentiment in the text message.

text:Construction is expected to be completed in the summer of 2011 . label:Neutral
",text:Construction is expected to be completed in the summer of 2011 . label:Neutral.
"instruction:Detect the sentiment in the following statement.

text:Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May . label:Positive
",text:Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May . label:Positive.
"instruction:Determine the sentiment in this blog post.

text:The exercise originated in Finland in the early 1930s as a training method for cross-country skiers . label:Neutral
",text:The exercise originated in Finland in the early 1930s as a training method for cross-country skiers . label:Neutral.
"instruction:Determine the sentiment in this blog post.

text:However , the broker gave an `` outperform '' recommendation on the stock . label:Positive
","text:However , the broker gave an `` outperform '' recommendation on the stock . label:Positive."
